workload	mode	formal_cap	source_cap	cap_identity_class	expected_config_id	expected_config_sha256	registry_cap_disposition	resolution_authority	resolution_authority_sha256
2DConvolution	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Btree	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Btree	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Btree	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
DWT2D	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
DWT2D	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
DWT2D	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Gaussian	BASE	32768	16384	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_CAP16384_A1	1e9014102974172ee93879c272e667f65f80607f95a05da231d3dc633cafc2fc	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Gaussian	IO	32768	16384	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_CAP16384_A1	c8988391c568126ce6c3a31b8f1cfa710958816f02c5ced49065301524e111f0	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Gaussian	OO	32768	16384	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_CAP16384_A1	21d15db8e11f664003ca9b968da4056c919b7ec911bb4da8ac4c106114b66150	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Hotspot1	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Hotspot1	IO	32768	32768	REACQUIRED_AT_FINAL_CAP	FAST64_IO_CAP32768_A1	896ff47dcab159092e646744af0e5ce0fa810c8420ace1807c709fbaf3b8a0c0	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
Hotspot1	OO	32768	32768	REACQUIRED_AT_FINAL_CAP	FAST64_OO_CAP32768_A1	ed5cc0315b7f7a206ebed0c3b6c03ef26d7b05c4386b880213cab6c576a816d6	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
LUD	BASE	32768	16384	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_CAP16384_A1	1e9014102974172ee93879c272e667f65f80607f95a05da231d3dc633cafc2fc	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
LUD	IO	32768	16384	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_CAP16384_A1	c8988391c568126ce6c3a31b8f1cfa710958816f02c5ced49065301524e111f0	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
LUD	OO	32768	16384	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_CAP16384_A1	21d15db8e11f664003ca9b968da4056c919b7ec911bb4da8ac4c106114b66150	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
NN	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
NN	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
NN	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
MRI-Q	BASE	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_BASE_A1	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
MRI-Q	IO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_IO_A1	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
MRI-Q	OO	32768	8192	SOURCE_PROVEN_CAP_INERT_REUSE_TO_FINAL	FAST64_OO_A1	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	ZERO	docs/dtc_l1/fast64/handoffs/FAST64_4_CAP_RESOLUTION_AUTHORITY_V1.md	553930992ecc268236224290cfb4f9c993dbff3740490d2f6fb686d3c093c966
