row	awma_stream_sm_raw
P34_10_80_STREAM_CONTROL	sid=33 cta_assignments=7 distinct_cta_slots=2 global_accesses=19866 local_accesses=8344 param_local_accesses=0 cta_logical_sequence=25,60,123,146,180,219,222
P34_10_80_STREAM_CONTROL	sid=34 cta_assignments=6 distinct_cta_slots=2 global_accesses=15508 local_accesses=6448 param_local_accesses=0 cta_logical_sequence=26,61,131,160,167,175
P34_5_80_STREAM	sid=0 cta_assignments=5 distinct_cta_slots=2 global_accesses=14734 local_accesses=6200 param_local_accesses=0 cta_logical_sequence=27,62,147,170,185
P34_5_80_STREAM	sid=1 cta_assignments=4 distinct_cta_slots=2 global_accesses=13462 local_accesses=5728 param_local_accesses=0 cta_logical_sequence=28,63,155,182
P34_5_80_STREAM	sid=2 cta_assignments=6 distinct_cta_slots=2 global_accesses=16034 local_accesses=6688 param_local_accesses=0 cta_logical_sequence=29,64,73,137,152,219
P34_5_80_STREAM	sid=3 cta_assignments=5 distinct_cta_slots=2 global_accesses=13238 local_accesses=5480 param_local_accesses=0 cta_logical_sequence=30,65,79,166,197
P34_5_80_STREAM	sid=4 cta_assignments=7 distinct_cta_slots=2 global_accesses=15043 local_accesses=6080 param_local_accesses=0 cta_logical_sequence=31,66,81,96,103,167,172
P34_5_80_STREAM	sid=5 cta_assignments=7 distinct_cta_slots=2 global_accesses=15557 local_accesses=6320 param_local_accesses=0 cta_logical_sequence=32,67,71,85,120,127,200
P34_5_80_STREAM	sid=6 cta_assignments=7 distinct_cta_slots=2 global_accesses=16338 local_accesses=6664 param_local_accesses=0 cta_logical_sequence=33,68,78,93,193,206,210
P34_5_80_STREAM	sid=7 cta_assignments=8 distinct_cta_slots=2 global_accesses=17123 local_accesses=6896 param_local_accesses=0 cta_logical_sequence=34,69,83,98,107,118,184,205
P34_5_80_STREAM	sid=8 cta_assignments=10 distinct_cta_slots=2 global_accesses=18908 local_accesses=7496 param_local_accesses=0 cta_logical_sequence=0,35,70,86,113,131,132,173,180,221
P34_5_80_STREAM	sid=9 cta_assignments=7 distinct_cta_slots=2 global_accesses=17614 local_accesses=7280 param_local_accesses=0 cta_logical_sequence=1,36,75,92,158,192,204
P34_5_80_STREAM	sid=10 cta_assignments=8 distinct_cta_slots=2 global_accesses=16597 local_accesses=6656 param_local_accesses=0 cta_logical_sequence=2,37,84,100,116,136,159,214
P34_5_80_STREAM	sid=11 cta_assignments=6 distinct_cta_slots=2 global_accesses=15596 local_accesses=6432 param_local_accesses=0 cta_logical_sequence=3,38,88,105,153,189
P34_5_80_STREAM	sid=12 cta_assignments=5 distinct_cta_slots=2 global_accesses=14517 local_accesses=6080 param_local_accesses=0 cta_logical_sequence=4,39,94,110,215
P34_5_80_STREAM	sid=13 cta_assignments=6 distinct_cta_slots=2 global_accesses=16606 local_accesses=6912 param_local_accesses=0 cta_logical_sequence=5,40,102,119,156,190
P34_5_80_STREAM	sid=14 cta_assignments=6 distinct_cta_slots=2 global_accesses=13271 local_accesses=5368 param_local_accesses=0 cta_logical_sequence=6,41,108,128,139,209
P34_5_80_STREAM	sid=15 cta_assignments=6 distinct_cta_slots=2 global_accesses=14835 local_accesses=6072 param_local_accesses=0 cta_logical_sequence=7,42,114,133,138,187
P34_5_80_STREAM	sid=16 cta_assignments=5 distinct_cta_slots=2 global_accesses=14762 local_accesses=6200 param_local_accesses=0 cta_logical_sequence=8,43,117,140,171
