target	native_mean_ns	native_status	semantic	sim_10_80	sim_0_80	evidence_class
T0	152717.0	MEASURED_WITH_VARIABILITY	LEGACY	1654548	711464	ACCEPTED_EXISTING
T0	152717.0	MEASURED_WITH_VARIABILITY	V1	756812	693548	ACCEPTED_EXISTING
T1	203591.2	STABLE_NATIVE_TIMING_ANCHOR	LEGACY	3114834	1252198	ACCEPTED_EXISTING
T1	203591.2	STABLE_NATIVE_TIMING_ANCHOR	V1	1320195	1251826	ACCEPTED_EXISTING
T2	4422.4	STABLE_NATIVE_TIMING_ANCHOR	LEGACY	152777	71654	ACCEPTED_EXISTING
T2	4422.4	STABLE_NATIVE_TIMING_ANCHOR	V1	111607	71743	ACCEPTED_EXISTING
T2	4422.4	STABLE_NATIVE_TIMING_ANCHOR	V2R1	111607	71743	ACCEPTED_EXISTING
