left	right	cycles	instructions	cta	scientific_counters	status	comparison_scope
final_gate_c0_legacy	final_gate_c1_off_legacy	88356	5648	1	EXACT_MATCH	PASS	cycles;instructions;CTA;all vm_* counters;AWMA coverage where emitted;L1D/L2 cache totals;Segment;controller terminal state
final_gate_c1_off_legacy	final_gate_c1_on_legacy	88356	5648	1	EXACT_MATCH	PASS	cycles;instructions;CTA;all vm_* counters;AWMA coverage where emitted;L1D/L2 cache totals;Segment;controller terminal state
final_gate_c0_v1	final_gate_c1_off_v1	88356	5648	1	EXACT_MATCH	PASS	cycles;instructions;CTA;all vm_* counters;AWMA coverage where emitted;L1D/L2 cache totals;Segment;controller terminal state
final_gate_c1_off_v1	final_gate_c1_on_v1	88356	5648	1	EXACT_MATCH	PASS	cycles;instructions;CTA;all vm_* counters;AWMA coverage where emitted;L1D/L2 cache totals;Segment;controller terminal state
final_gate_c0_v2	final_gate_c1_off_v2	88356	5648	1	EXACT_MATCH	PASS	cycles;instructions;CTA;all vm_* counters;AWMA coverage where emitted;L1D/L2 cache totals;Segment;controller terminal state
final_gate_c1_off_v2	final_gate_c1_on_v2	88356	5648	1	EXACT_MATCH	PASS	cycles;instructions;CTA;all vm_* counters;AWMA coverage where emitted;L1D/L2 cache totals;Segment;controller terminal state
final_gate_c1_off_m1	final_gate_c1_on_m1	695553	5648	1	EXACT_MATCH	PASS	cycles;instructions;CTA;all vm_* counters;AWMA coverage where emitted;L1D/L2 cache totals;Segment;controller terminal state
