variant	registered_compare	waiter_metadata_bits	requirement	status	test_log_sha256
registered_conservative	1	325	different_vpn	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	asid_mismatch	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	generation_mismatch	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	access_mismatch	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	two_entry_full	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	thirty_two_waiter_full	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	completion_and_drain	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	entry_reuse	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	no_duplicate_follower_completion	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
registered_conservative	1	325	concurrent_completion_exact_request	PASS	60a427f3c2586f72494e5722f9ed327a7410df0c21b717ac487032146fde1dd8
