schema	FAST64_6_SENSITIVITY_MATRIX_V1
status	FROZEN_PRE_DISPATCH
scientific_framework_sha	037f008b330eb230353b60edf126d6be9f45afdc
config_materialization_sha	180e81c68816012165c26dab577e693b3b798292
formal_core_sha	95ccdb7a056f2d53f740d90869785cac6d4ee0f5
formal_runtime_sha256	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
observer_sha256	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e
workload	payload_sha256	dimension	point	modeled_value	mode	config_path	config_sha256	reference_point	reference_mode	mode_policy	reuse_candidate	classification
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	physical	40	320_lines_40960B	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_OO.config	6b1cf347db1186badbd3765f378ab588a0489e05b2a5c374d3059cd31e1c7109	physical_32_IO	IO	FORMAL_IO_OO	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	physical	48	384_lines_49152B	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_IO.config	d70a7b0b9601058091b95e18cc8dcfdd0a8895f9438c87ed63f8e0f642396ec0	physical_32_IO	IO	FORMAL_IO_OO	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	physical	48	384_lines_49152B	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_48/FAST64_SENS_PHYSICAL_48KB_OO.config	361c9c98a1e5ef710c623f5229b3e94214270f64c1d39ba7af20937a603216fe	physical_32_IO	IO	FORMAL_IO_OO	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	pib	32	32_entries	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_32/FAST64_SENS_PIB_32ENTRIES_IO.config	6963590ee62d3a2ca25d84389f5bf3f61af4c824a1a07d2158115f35900308ee	pib_128_IO	IO	FORMAL_IO_OO;256_DIAGNOSTIC_SATURATION_POINT	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	pib	32	32_entries	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_32/FAST64_SENS_PIB_32ENTRIES_OO.config	0486d13f4fcaa2c9b419195819e54f55d6634206b8caae4865d068a0b5163b60	pib_128_IO	IO	FORMAL_IO_OO;256_DIAGNOSTIC_SATURATION_POINT	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	pib	64	64_entries	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_64/FAST64_SENS_PIB_64ENTRIES_IO.config	c01b2fd6b7becf1518a820f1e7bf91cd388f17e8f4cc853e84ac34f42fad8cd1	pib_128_IO	IO	FORMAL_IO_OO;256_DIAGNOSTIC_SATURATION_POINT	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	pib	64	64_entries	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_64/FAST64_SENS_PIB_64ENTRIES_OO.config	3f4fe9e3062568d72f9b5e8b61fa17fef6559a62d10af068677692f94c45875e	pib_128_IO	IO	FORMAL_IO_OO;256_DIAGNOSTIC_SATURATION_POINT	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	pib	128	128_entries	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_128/FAST64_SENS_PIB_128ENTRIES_IO.config	b9af4ed0b9668712c65e629c460cc256249a6fe8c9e12914ae51f5b9e6ed39a2	pib_128_IO	IO	FORMAL_IO_OO;256_DIAGNOSTIC_SATURATION_POINT	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	pib	128	128_entries	OO	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_128/FAST64_SENS_PIB_128ENTRIES_OO.config	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	pib_128_IO	IO	FORMAL_IO_OO;256_DIAGNOSTIC_SATURATION_POINT	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
GESUMMV	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	pib	192	192_entries	IO	configs/dtc_l1/fast64/sensitivity_frozen_v2/pib_192/FAST64_SENS_PIB_192ENTRIES_IO.config	1c9041e7e8ddf3142ff8ae89157e82a343d3773cbf6858842da049f98af2ac4d	pib_128_IO	IO	FORMAL_IO_OO;256_DIAGNOSTIC_SATURATION_POINT	PENDING_EXACT_REPAIRED_CORE_TERMINAL_MATCH	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
