schema	FAST64_PROVISIONAL_STAGE4_SPEEDUP_V1
status	PRELIMINARY_NONPROMOTING_NO_GM
workload	core_sha	base_cycles	io_cycles	oo_cycles	speedup_io	speedup_oo	status
ATAX	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	87750512	88363340	48078114	0.993065	1.825165	PRELIMINARY_CANDIDATE
BICG	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	88495620	93942704	47231655	0.942017	1.873651	PRELIMINARY_CANDIDATE
Btree	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	369977	244231	172795	1.514865	2.141133	PRELIMINARY_CANDIDATE
Hotspot1	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	160486	85206	83439	1.883506	1.923393	PRELIMINARY_CANDIDATE
MRI-Q	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	366667	360536	361415	1.017005	1.014532	PRELIMINARY_CANDIDATE
