set_name	run_index	decode_index	control_decode_ms	fair_decode_ms	selected_control_sum_ms	selected_target_share	summed_local_saving_ms	observed_decode_saving_ms	realization_ratio	nonselected_up_proj_effect_ms
N1	0	1	13.690879821777344	13.694975852966309	0.08191999793052673	0.0059835451772954	0.03891199827194214	-0.004096031188964844	-0.1052639640950623	-0.47923195362091064
N1	0	2	13.6878080368042	13.700096130371094	0.08089599758386612	0.005910076863026605	0.03891199827194214	-0.012288093566894531	-0.3157918922851869	-0.4825599640607834
N1	0	3	13.692928314208984	13.694368362426758	0.08191999793052673	0.005982650025671964	0.03891199827194214	-0.0014400482177734375	-0.037007819740056826	-0.4899519607424736
N1	1	1	13.692928314208984	13.714431762695312	0.08089599758386612	0.005907866873145121	0.03891199827194214	-0.021503448486328125	-0.5526174301316565	-0.48323196917772293
N1	1	2	13.68883228302002	13.713472366333008	0.08025600016117096	0.0058628813986363595	0.03827200084924698	-0.02464008331298828	-0.6438148716092822	-0.47817596048116684
N1	1	3	13.690879821777344	13.698047637939453	0.08191999793052673	0.0059835451772954	0.03891199827194214	-0.007167816162109375	-0.1842058100438855	-0.49190396070480347
N1	2	1	13.69702434539795	13.700160026550293	0.08089599758386612	0.005906100153136275	0.03891199827194214	-0.00313568115234375	-0.0805839147717264	-0.48505596071481705
N1	2	2	13.68883228302002	13.69702434539795	0.08089599758386612	0.005909634650445064	0.037887997925281525	-0.008192062377929688	-0.2162178744330898	-0.48531195521354675
N1	2	3	13.698047637939453	13.701120376586914	0.08191999793052673	0.0059804141506730555	0.037887997925281525	-0.0030727386474609375	-0.08110058107373869	-0.49142395704984665
N1	3	1	13.694975852966309	13.705216407775879	0.08105599880218506	0.005918666792291457	0.038047999143600464	-0.010240554809570312	-0.2691483137108075	-0.47577594965696335
N1	3	2	13.68883228302002	13.705216407775879	0.08089599758386612	0.005909634650445064	0.03891199827194214	-0.016384124755859375	-0.4210558563802492	-0.48191995918750763
N1	3	3	13.700096130371094	13.701120376586914	0.08191999793052673	0.00597951993555156	0.03891199827194214	-0.0010242462158203125	-0.026322118146239096	-0.49036795645952225
N1	4	1	13.694975852966309	13.698047637939453	0.08089599758386612	0.005906983586710318	0.037887997925281525	-0.0030717849731445312	-0.08107541019196533	-0.47865597158670425
N1	4	2	13.689855575561523	13.709440231323242	0.08089599758386612	0.005909192915685524	0.03891199827194214	-0.01958465576171875	-0.5033063484647728	-0.48188795894384384
N1	4	3	13.680959701538086	13.710335731506348	0.08089599758386612	0.005913035294941433	0.037887997925281525	-0.02937602996826172	-0.7753386712645477	-0.48396795243024826
N1	5	1	13.6878080368042	13.712800025939941	0.08191999793052673	0.005984887990119216	0.03891199827194214	-0.024991989135742188	-0.6422694861641915	-0.4828479662537575
N1	5	2	13.694975852966309	13.696000099182129	0.08089599758386612	0.005906983586710318	0.03891199827194214	-0.0010242462158203125	-0.026322118146239096	-0.4877759516239166
N1	5	3	13.696000099182129	13.692928314208984	0.08089599758386612	0.005906541836889802	0.037887997925281525	0.0030717849731445312	0.08107541019196533	-0.4880639538168907
N1	6	1	13.703167915344238	13.700096130371094	0.08089599758386612	0.005903452258895707	0.03891199827194214	0.0030717849731445312	0.07894184594882321	-0.47891195118427277
N1	6	2	13.696000099182129	13.68883228302002	0.08191999793052673	0.005981308216799638	0.03891199827194214	0.007167816162109375	0.1842058100438855	-0.48217596858739853
N1	6	3	13.691328048706055	13.68166446685791	0.08191999793052673	0.0059833492878924085	0.03891199827194214	0.009663581848144531	0.248344528096686	-0.48636796325445175
N2	0	1	13.6878080368042	13.644800186157227	0.16486399620771408	0.012044587107331042	0.06553599610924721	0.043007850646972656	0.6562477600138925	-0.4751359596848488
N2	0	2	13.702143669128418	13.635583877563477	0.16076799482107162	0.01173305423612581	0.06655999273061752	0.0665597915649414	0.9999969776788148	-0.47926396131515503
N2	0	3	13.698047637939453	13.642751693725586	0.16281599551439285	0.011886073097266922	0.06963199377059937	0.05529594421386719	0.7941169169453643	-0.4853759594261646
N2	1	1	13.684736251831055	13.653247833251953	0.16383999586105347	0.01197246281155994	0.062175996601581573	0.03148841857910156	0.5064401103351287	-0.4745599702000618
