condition	target	decode_index	token_id	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256	requested_setaside_bytes	actual_setaside_bytes	transition_count
SINGLE_L0_UP	L14_UP	3	3950	0.062463998794555664	0.06143999844789505	0.06351999938488007	0.010524315264544995	[0.06143999844789505, 0.062463998794555664, 0.062463998794555664, 0.06351999938488007, 0.062463998794555664, 0.06278400123119354, 0.06348799914121628]	fad24b505c70b2c4d5265fc0f028fbda7ab87338c131c47e6a534663615297e5	1d4d06b3d59eb3dd8dc7907fd560d2c3bcc97efd037df072c8f534d199ea6eca	33947648	37748736	15
SINGLE_L0_UP	L0_DOWN	0	23578	0.07577600330114365	0.07475200295448303	0.07711999863386154	0.011934467108747375	[0.07711999863386154, 0.07606399804353714, 0.07475200295448303, 0.07577600330114365, 0.07680000364780426, 0.07494399696588516, 0.07475200295448303]	cb50a226fd7403effa427b3aa248b7094a3cffb982b6e6b92aa40d2559b27f93	b01d6063f53842fa93448b59b0f73631b28568764501577e389ca4cf469de6f7	33947648	37748736	15
SINGLE_L0_UP	L0_DOWN	1	11	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.00819440285737014	[0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07494399696588516, 0.07680000364780426, 0.07577600330114365]	025b9c6e3bb9a34ed6c79e0397b52fdda4892e4718f4ac832eaf27a37eca2fa8	b720fdd0913b1dd3b7df909bd50f71ac928a92531d1b9479a454891d873bf4b2	33947648	37748736	15
SINGLE_L0_UP	L0_DOWN	2	323	0.07577600330114365	0.0748480036854744	0.07680000364780426	0.007114654133334748	[0.07577600330114365, 0.07577600330114365, 0.07587199658155441, 0.07619199901819229, 0.0748480036854744, 0.07680000364780426, 0.07577600330114365]	d4595db8994a4ff32ff77750cf9b8dfdaab4f473145da0e1b871b4a387b92389	06ecadba2a7ce105244e5594071264b9e30b13b27d33dda9b36d044b6209e5e4	33947648	37748736	15
SINGLE_L0_UP	L0_DOWN	3	3950	0.07558400183916092	0.07462400197982788	0.07680000364780426	0.009648720490918094	[0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07462400197982788, 0.07680000364780426, 0.07558400183916092]	957ce18d03dcf95851592b34c608119b40e80ddccb115ba484f15e60f92e69e5	edc30fd987ec937b10dc014ec39abf7faf615baf9b01d097462356f5b4887ded	33947648	37748736	15
SHARE2_UP	L0_UP	0	23578	0.10115200281143188	0.10035199671983719	0.10239999741315842	0.006119140607649123	[0.10035199671983719, 0.10051199793815613, 0.1013759970664978, 0.10127999633550644, 0.10105600208044052, 0.10239999741315842, 0.10115200281143188]	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef	858e096b29bd6b0ba94ee9aa1d980ceb45430073354ca232ecc3bba2ed948876	33947648	37748736	15
SHARE2_UP	L0_UP	1	11	0.05427199974656105	0.053247999399900436	0.055296000093221664	0.013276371750776018	[0.05427199974656105, 0.053247999399900436, 0.05427199974656105, 0.053247999399900436, 0.053247999399900436, 0.05427199974656105, 0.055296000093221664]	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b	33947648	37748736	15
SHARE2_UP	L0_UP	2	323	0.04710400104522705	0.04608000069856644	0.04710400104522705	0.00988212083373291	[0.04608000069856644, 0.04710400104522705, 0.04710400104522705, 0.04710400104522705, 0.04710400104522705, 0.04608000069856644, 0.04710400104522705]	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177	1a5703302916b1bb76afbbc8fec106ab2f0c8be1d55050b4acef2594177d3328	33947648	37748736	15
SHARE2_UP	L0_UP	3	3950	0.04710400104522705	0.04608000069856644	0.048128001391887665	0.016433243155511628	[0.048128001391887665, 0.04608000069856644, 0.048128001391887665, 0.04710400104522705, 0.04710400104522705, 0.04608000069856644, 0.04710400104522705]	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	abb444c62e12fec00485479cc7d40d69aa816d2965f7ba1af6f781a3ede0d142	33947648	37748736	15
SHARE2_UP	L14_UP	0	23578	0.06860800087451935	0.06860800087451935	0.06963200122117996	0.005211681998090281	[0.06860800087451935, 0.06860800087451935, 0.06860800087451935, 0.06860800087451935, 0.06860800087451935, 0.06963200122117996, 0.06860800087451935]	17cb33dd1fdc75886d6152d68abd826d676bab4423d2a3000986f0d27b2b86c5	282a61a18e36691780f971001ffa7a4e0473e70416164304de1410d2f1293df7	33947648	37748736	15
