mode	workload	status	raw_log_gz_sha256
M0A_ON_M0B_ON_M1_STATIC	convolutionSeparable	COMPLETE_VALID	3fd483fe3a4c30431682e3f927aab56ba335f12cc05e497914b7b1cbbf6dc5b9
M0A_ON_M0B_ON_M1_STATIC	spmv	COMPLETE_VALID	4744bdd831e62fbf2a39f92d99f74f99ff94bd218864e9d85523cc8c06876a62
M0A_ON_M0B_ON_M1_STATIC	vectorAdd_4M	COMPLETE_VALID	17fe01d7b16e4ccf8f870451a5ecb9d53f2c5f425efed639bee3d2a2bf490cf2
M0A_ON_M0B_ON_M1_STATIC	sad	COMPLETE_VALID	84aa861809bcadf9e34d4f564b8ec3e41f7c924cba86d4e5a18a4a7d41b87357
M0A_ON_M0B_ON_M1_STATIC	dwt2d	COMPLETE_VALID	98b66b23505e127079291f4b0ccb1b8702e77bb01d336302c09fbf9342ffbd36
M0A_ON_M0B_ON_M1_STATIC	cfd_097k	COMPLETE_VALID	283aea8c88effc1876c2204d51ac92897b511839bd6c5b028a98f77c567b52e0
M0A_ON_M0B_OFF_M1_STATIC	convolutionSeparable	COMPLETE_VALID	60ef550b99076e1d67747e3901fb4ae8cd93aa098dcb32f27de240950ece8e88
M0A_ON_M0B_OFF_M1_STATIC	dwt2d	COMPLETE_VALID	b9de18d7cf86dea53462163d168029e785cd03aaa65e55d2bc8e6f0c0a9f346a
M0A_ON_M0B_OFF_M1_STATIC	sad	COMPLETE_VALID	52cdf0b369b25eb628785284a67271d3da32c0a2dbb540054a7bb9623ed95735
