global_dynamic_order	decode_iteration	exact_function	grid	block	stream	semantic_layer	semantic_identity	trace_artifact	size_bytes	context	device_reported	receiver_accepted	raw_records	drop_count	overflow_count	reported_path	xz_integrity
3171	1	void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})	1,1,1	128,1,1	0	4	self_attn	kernel-3171-ctx_0x5c1527a3dbe0.trace.xz	3416	0x5c1527a3dbe0	716	716	716	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3171-ctx_0x5c1527a3dbe0.trace.xz	PASS
3172	1	void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})	1,1,1	128,1,1	0	4	self_attn	kernel-3172-ctx_0x5c1527a3dbe0.trace.xz	1888	0x5c1527a3dbe0	332	332	332	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3172-ctx_0x5c1527a3dbe0.trace.xz	PASS
3173	1	void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)	152,2,1	512,1,1	0	4	self_attn	kernel-3173-ctx_0x5c1527a3dbe0.trace.xz	205936	0x5c1527a3dbe0	51344	51344	51344	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3173-ctx_0x5c1527a3dbe0.trace.xz	PASS
3174	1	void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})	1,1,1	128,1,1	0	4	self_attn	kernel-3174-ctx_0x5c1527a3dbe0.trace.xz	3408	0x5c1527a3dbe0	716	716	716	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3174-ctx_0x5c1527a3dbe0.trace.xz	PASS
3175	1	void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3> >(int, at::native::CUDAFunctor_add<c10::Half>, at::detail::Array<char*, 3>)	1,1,1	128,1,1	0	4	self_attn	kernel-3175-ctx_0x5c1527a3dbe0.trace.xz	1140	0x5c1527a3dbe0	132	132	132	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3175-ctx_0x5c1527a3dbe0.trace.xz	PASS
3176	1	void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 128, 1>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)	152,2,1	512,1,1	0	4	self_attn	kernel-3176-ctx_0x5c1527a3dbe0.trace.xz	8265516	0x5c1527a3dbe0	1728304	1728304	1728304	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3176-ctx_0x5c1527a3dbe0.trace.xz	PASS
3177	1	void at::native::(anonymous namespace)::CatArrayBatchedCopy_contig<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 128, 1>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)	152,2,1	512,1,1	0	4	self_attn	kernel-3177-ctx_0x5c1527a3dbe0.trace.xz	8254644	0x5c1527a3dbe0	1728304	1728304	1728304	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3177-ctx_0x5c1527a3dbe0.trace.xz	PASS
3178	1	void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})	14350,1,1	128,1,1	0	4	self_attn	kernel-3178-ctx_0x5c1527a3dbe0.trace.xz	55438708	0x5c1527a3dbe0	10045000	10045000	10045000	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3178-ctx_0x5c1527a3dbe0.trace.xz	PASS
3179	1	void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})	14350,1,1	128,1,1	0	4	self_attn	kernel-3179-ctx_0x5c1527a3dbe0.trace.xz	55329364	0x5c1527a3dbe0	10045000	10045000	10045000	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3179-ctx_0x5c1527a3dbe0.trace.xz	PASS
3180	1	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, false, false, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)	1,5,28	128,1,1	0	4	self_attn	kernel-3180-ctx_0x5c1527a3dbe0.trace.xz	24706748	0x5c1527a3dbe0	2627765	2627765	2627765	0	0	/data/c16/e1_bounded_decode_trace_v1/formal_d1_d3_20260925_v3/raw/kernel-3180-ctx_0x5c1527a3dbe0.trace.xz	PASS
