plan_id	split_id	source_roi	reference_arm	candidate_arm	metric	reference_value	estimate	absolute_error	relative_error	percentage_point_error	interval_kind	interval_low	interval_high	effect_reference	effect_estimate	effect_resolution	prediction_verdict	validation_verdict	test_set_previously_seen	scope
STRATIFIED_RANDOM_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	16	48	0.75	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	195	1966	0.909763998149	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	332	15111	0.978501586479	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	60	4	0.0625	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	268	1893	0.875983341046	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	129	15314	0.991646700771	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	12	52	0.8125	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	80	2081	0.962980101805	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8178	7265	0.470439681409	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	14	50	0.78125	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2118	43	0.01989819528	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8085	7358	0.476461827365	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	2	62	0.96875	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2082	79	0.0365571494678	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8343	7100	0.459755228906	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	28	36	0.5625	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2116	45	0.0208236927348	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	8025	7418	0.480347082821	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	0	64	1	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_REPRESENTATIVE_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	2073	88	0.0407218880148	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	PASS	PASS	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	35	15408	0.997733600984	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	14	50	0.78125	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	155	2006	0.928273947247	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	89	15354	0.994236871074	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	26	38	0.59375	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	155	2006	0.928273947247	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	786	14657	0.949103153532	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	38	26	0.40625	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	187	1974	0.913465987969	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_WEIGHT	15443	17	15426	0.998899177621	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_KV_CACHE	64	14	50	0.78125	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
TRACE_INFORMED_ORACLE_DIAGNOSTIC_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	prefill	F0	NA	unique_64KiB_pages_UNKNOWN	2161	155	2006	0.928273947247	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_WEIGHT	15443	8016	7427	0.480929871139	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_KV_CACHE	82	10	72	0.878048780488	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_UNKNOWN	81	47	34	0.41975308642	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_WEIGHT	15443	8025	7418	0.480347082821	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_KV_CACHE	82	7	75	0.914634146341	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_UNKNOWN	81	42	39	0.481481481481	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_WEIGHT	15443	8348	7095	0.459431457618	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_KV_CACHE	82	17	65	0.792682926829	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B48	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_UNKNOWN	81	55	26	0.320987654321	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_WEIGHT	15443	8025	7418	0.480347082821	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_KV_CACHE	82	5	77	0.939024390244	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
LAYER_ANCHOR_CHEAP_V1__B8	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_UNKNOWN	81	41	40	0.493827160494	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_WEIGHT	15443	33	15410	0.997863109499	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_KV_CACHE	82	11	71	0.865853658537	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B12	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_UNKNOWN	81	14	67	0.827160493827	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
STRATIFIED_RANDOM_CHEAP_V1__B24	C12_RETROSPECTIVE_ALL_SEEN	decode1	F0	NA	unique_64KiB_pages_WEIGHT	15443	129	15314	0.991646700771	NA	EXACT_SET_COMPARISON_NO_SAMPLING_CI	NA	NA	NA	NA	NA	FAIL	FAIL	TRUE	TRACE_DERIVED_EXACT_UNION; sample plan is cheap/oracle as named
