roi	arm	lseg	framework_anchor	core_head	binary_sha256	config_sha256	trace_sha256	registration_sha256	charged_bits	raw_log_sha256	kernel_markers	telemetry_records	peak_rss_kb	elapsed_seconds	terminal_status
decode1	F9	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	09e702871b1d7172eaddb91c4b9643555858ba98b889c4df61a020e73b3b644e	b6c42eb1932fcacefc2429b91a2015d38003a764a5319fe4bcbaf65b3d0cd0dc	3dc77c1f348028ba7b8abfef3dc6c4cffa0c9678f003bc23bdc9158d62762b48	56375	b8628dae1c47866a0d739f07c921d89d64722f62e5eefbe0d45b4ffadd253d8c	740	740	641512	28182.0	PASS
prefill	F0	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	16f9f1866a541ac5686a02f15b8f3abf5fd8723601ff8795db77a64fffb8d446	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	66000	8f7bbc5a0e1263ca264c2b4f892d4bc4e02faf570cfd7df327b98a27ac326db7	692	692	1795232	77144.0	PASS
prefill	F1	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	f9c14e4ffea7e90a34c4381b11560466ffccfcab065a6aaa04eedfd0013d241c	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	59802	ea91c8f3da99416aacf4062e61c5818b9e858dc4275130aca148219961e23954	692	692	1862912	75607.0	PASS
prefill	F2	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	5d63705a125014c4488fec967380b7dcba920769d082b6de62198bc90b512ba5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	59125	e4fc67d645c01f9588898f9cad6e021db4dde4619558edcac24d3575a881b914	692	692	1557300	84042.0	PASS
prefill	F5	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	cdf87d5f366b6db2d8360da07af6c27d71158ffbd5e2b16dd9258f07f2e73cfa	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	64745	9881d28fd3570cd6333bfac0d07f3435b8f96fa68f39ce9235fe564cc3237b8a	692	692	1579796	84415.0	PASS
prefill	F7	10	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	dee876d571a8532585e21e92248085ca6868351ed1552d03d334d66cac6af8b6	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	65300	6d29515bf7e393da19cab337122eb98836c998b2ec5bd4e1a54cfba599fa800d	692	692	1597164	83865.0	PASS
prefill	F7	20	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	0745bed01fdd395a2a55915d3315afc7b04a21124ff3bfad1cb670a3d229d2ad	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	65300	561262be54cb01195ae728f7c997842d6c8959ce18a06de69a481e6cacef46f4	692	692	1850672	80927.0	PASS
prefill	F7	5	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	28c6c1823cb75e56250023dd269790d7438b43cb16a803003d332f06c13e4059	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	65300	c69b9cac87cc80e281eceb209fa77814478066fef3a569ac7002ee4a03ff6dfb	692	692	1822720	71677.0	PASS
prefill	F8	10	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	c51a1a4c9c60e1b805c48e34e7bbec934ed74647702714b13642e7a6a19f493e	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	57734	0f47c705532f577d5a0b80400bb2301c8883c0daa14dcc2f1359bb45e0550b7b	692	692	1755828	73800.0	PASS
prefill	F8	20	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	48206c1dd80e2a66f231e7d24aeb202f65ea1d7ea22d7798c86ae95b6e9184ba	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	57734	067161337099aced4648bcd7ede80491993ec14e7fe5429f7ff877c017ea0257	692	692	1830508	83578.0	PASS
prefill	F8	5	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	a032d783866a802a23c7d518214addda5562b1976655ff48efd9a5c86adf391b	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	57734	40fe36b2d310c7bae41dc34103463169538c8419e8b8f1e1c046422b6d0881a8	692	692	1760636	72174.0	PASS
prefill	F9	NONE	d64408a97d76a320a6d49468653d416e33677af8	57bb71ecd015b6ec0ab32e45b0815e5beaf69172	2351f67bba60d333fdcc08b4cea81f39082958da67982d497ee8b4d83f321d3a	9b9b30b68a9541b77e5685d6567240b6aef71ae456bb0b163b44843247eb09f5	a40d6832219e5b0a6232875bb181754ac121bb5f867c9b13c84370e2a2cb6e6f	6ae0e18cc3bba29871002c4ff1877052489740163424723a845ead45c4a5f4b0	56375	c37c4af60090cfb3df949aa072b55858ac2b4c7a724a0a23adae17a0a18cbf62	692	692	1798496	69867.0	PASS
