phase	utc	mem_available_kb	swap_free_kb	memory_psi_full_avg10	io_psi_full_avg10	pswpin	pswpout	cpu_iowait_ticks	cpu_total_ticks	loadavg_1	loadavg_5	loadavg_15	c12_simulator_count	c12_worker_rss_kb	swap_in_mib_s	swap_out_mib_s	cpu_iowait_pct
batch_running	2026-09-08T08:02:43+00:00	197353420	36	0.0	0.0	2997881	8769429	1111517188	285244477865	489.58	461.66	486.34	6	1130907:826792;1130953:425984;1162513:401408;1162534:413696;1162615:307200;1162625:294912	0.000326	0.000000	0.0000
independent_live_monitor	2026-09-08T08:02:50+00:00	197361120	36	0.0	0.0	2997881	8769429	1111517188	285244841332	498.10	463.89	486.93	6	1130907:826792;1130953:425984;1162513:401408;1162534:413696;1162615:307200;1162625:294912	0.000000	0.000000	0.0000
batch_running	2026-09-08T08:03:13+00:00	197244116	40	0.0	0.0	2997882	8769429	1111517222	285246015449	534.28	475.16	490.04	6	1130907:826792;1130953:425984;1162513:401408;1162534:413696;1162615:307200;1162625:348160	0.000170	0.000000	0.0029
independent_live_monitor	2026-09-08T08:03:20+00:00	197181804	52	0.0	0.0	2997883	8769429	1111517222	285246405816	547.54	479.92	491.43	6	1130907:826792;1130953:425984;1162513:401408;1162534:413696;1162615:311296;1162625:348160	0.000558	0.000000	0.0000
batch_running	2026-09-08T08:03:43+00:00	197314432	80	0.0	0.0	2997893	8769429	1111517223	285247552507	565.48	488.41	493.98	6	1130907:826792;1130953:425984;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.001698	0.000000	0.0001
independent_live_monitor	2026-09-08T08:03:51+00:00	197319060	80	0.0	0.0	2997893	8769429	1111517225	285247968956	570.57	492.03	495.10	6	1130907:826792;1130953:425984;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000000	0.000000	0.0005
batch_running	2026-09-08T08:04:13+00:00	197218124	84	0.0	0.0	2997894	8769429	1111517226	285249089762	581.92	499.71	497.56	6	1130907:843176;1130953:425984;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000178	0.000000	0.0001
independent_live_monitor	2026-09-08T08:04:22+00:00	197292996	88	0.0	0.0	2997895	8769429	1111517226	285249532793	586.55	503.39	498.78	6	1130907:843176;1130953:425984;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000434	0.000000	0.0000
batch_running	2026-09-08T08:04:43+00:00	197294232	96	0.0	0.0	2997897	8769429	1111517255	285250627259	593.62	510.37	501.18	6	1130907:843176;1130953:425984;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000372	0.000000	0.0026
independent_live_monitor	2026-09-08T08:04:52+00:00	197240308	100	0.0	0.0	2997898	8769429	1111517255	285251101009	596.53	513.73	502.37	6	1130907:843176;1130953:438272;1162513:401408;1162534:413696;1162615:368640;1162625:348160	0.000434	0.000000	0.0000
