budget_name	run_index	decode_index	direct_up_saving_ms	gate_saving_ms	down_saving_ms	total_ffn_projection_saving_ms	mlp_top_saving_ms	mlp_internal_residual_ms	self_attn_saving_ms	norm_saving_ms	final_stage_saving_ms	observed_decode_saving_ms	accounted_toplevel_saving_ms	unexplained_residual_ms	negative_offset_from_direct_up_ms	measured_non_up_offset_ms	localized_offset_fraction
B8	0	1	0.3474879190325737	-0.1265600025653839	-0.20121604949235916	0.019711866974830627	0.04038397967815399	0.020672112703323364	-0.08524803817272186	0.006111994385719299	-0.005216038785874844	-0.10131263732910156	-0.043968102894723415	-0.05734453443437815	0.44880055636167526	0.3914560219272971	0.8722271315809915
B8	0	2	0.35772792994976044	-0.12940798699855804	-0.2074560523033142	0.020863890647888184	0.05337612330913544	0.03251223266124725	0.08649599552154541	0.02918399777263403	-0.0037439195439219475	0.24166488647460938	0.16531219705939293	0.07635268941521645	0.11606304347515106	0.1924157328903675	1.6578553097443411
B8	0	3	0.34147191792726517	-0.12351997941732407	-0.19670405238866806	0.02124788612127304	0.03910394012928009	0.01785605400800705	0.08460800349712372	0.016640012152493	0.00873605627566576	0.15459060668945312	0.14908801205456257	0.005502594634890556	0.18688131123781204	0.1923839058727026	1.0294443280520884
B8	1	1	0.3527359366416931	-0.11548800766468048	-0.20684805512428284	0.030399873852729797	0.05542394518852234	0.02502407133579254	0.056128039956092834	-0.023264006711542606	0.005408037453889847	0.07372856140136719	0.09369601588696241	-0.019967454485595226	0.2790073752403259	0.2590399207547307	0.9284339545920747
B8	1	2	0.3551359474658966	-0.12406397610902786	-0.20128005743026733	0.02979191392660141	0.06832011044025421	0.0385281965136528	-0.007935956120491028	-9.599793702363968e-05	0.0030080080032348633	0.09113693237304688	0.06329616438597441	0.027840767987072468	0.26399901509284973	0.2918397830799222	1.1054578479290187
B8	1	3	0.351423941552639	-0.1253119558095932	-0.20492805540561676	0.021183930337429047	0.03884799778461456	0.017664067447185516	-0.044992029666900635	0.024703999049961567	-0.002880096435546875	-0.0042247772216796875	0.01567987073212862	-0.019904647953808308	0.3556487187743187	0.3357440708205104	0.9440328422314969
B8	2	1	0.36086392402648926	-0.15568000823259354	-0.19961605221033096	0.005567863583564758	-0.002143949270248413	-0.007711812853813171	-0.08707201480865479	-0.010368002578616142	-0.002400040626525879	-0.1505279541015625	-0.10198400728404522	-0.04854394681751728	0.5113918781280518	0.4628479313105345	0.9050748576703794
B8	2	2	0.3636159226298332	-0.15807999670505524	-0.20524805784225464	0.00028786808252334595	-0.015200003981590271	-0.015487872064113617	-0.12879997491836548	-0.010911999270319939	-0.003071904182434082	-0.19968032836914062	-0.15798388235270977	-0.041696446016430855	0.5632962509989738	0.521599804982543	0.9259777675734845
B8	2	3	0.36038392782211304	-0.16105597466230392	-0.19568005949258804	0.0036478936672210693	-0.015231922268867493	-0.018879815936088562	-0.08956795930862427	0.002751993015408516	-0.001024007797241211	-0.13619232177734375	-0.10307189635932446	-0.033120425418019295	0.4965762495994568	0.4634558241814375	0.933302437551666
B8	3	1	0.3636799454689026	-0.1364160180091858	-0.20806405693292618	0.01919987052679062	0.025024041533470154	0.005824171006679535	-0.028896033763885498	-0.023391995579004288	-0.007072054781019688	-0.04915046691894531	-0.03433604259043932	-0.014814424328505993	0.4128304123878479	0.3980159880593419	0.9641149879370126
B8	3	2	0.3734719231724739	-0.13766400516033173	-0.20278406143188477	0.033023856580257416	0.03798399865627289	0.004960142076015472	-0.08918394148349762	-0.009599997662007809	0.005119919776916504	-0.084991455078125	-0.055680020712316036	-0.029311434365808964	0.4584633782505989	0.42915194388478994	0.9360659198611342
B8	3	3	0.3464639261364937	-0.15484797954559326	-0.18614404648542404	0.005471900105476379	-0.017472043633461	-0.022943943738937378	-0.10105596482753754	-0.030303996987640858	0.006271927617490292	-0.2150402069091797	-0.1425600778311491	-0.07248012907803059	0.5615041330456734	0.4890240039676428	0.8709179063653749
B8	4	1	0.36428792774677277	-0.1056320071220398	-0.19673603773117065	0.06191988289356232	0.07548788189888	0.013567999005317688	-0.03177596628665924	-0.008031991310417652	0.0004159994423389435	0.0645751953125	0.036095923744142056	0.028479271568357944	0.29971273243427277	0.3281920040026307	1.0950218942553716
B8	4	2	0.36217593401670456	-0.15948797017335892	-0.20598404854536057	-0.003296084702014923	0.010815933346748352	0.014112018048763275	-0.06819194555282593	-0.0046719955280423164	0.01228797435760498	-0.04812812805175781	-0.04976003337651491	0.0016319053247570992	0.41030406206846237	0.41193596739321947	1.0039773072597191
B8	4	3	0.36198394000530243	-0.12345598638057709	-0.19017605483531952	0.04835189878940582	0.05103999376296997	0.002688094973564148	-0.048384010791778564	-0.003039996139705181	-0.00015997886657714844	0.023967742919921875	-0.0005439920350909233	0.0245117349550128	0.33801619708538055	0.36252793204039335	1.0725164508871783
B8	5	1	0.3671359270811081	-0.11920001357793808	-0.1918400526046753	0.05609586089849472	0.08316797018051147	0.027072109282016754	0.0597759485244751	0.015008006244897842	0.004160030744969845	0.10137748718261719	0.16211195569485426	-0.06073446851223707	0.2657584398984909	0.20502397138625383	0.7714673952201284
B8	5	2	0.3601919338107109	-0.11001598089933395	-0.2088000625371933	0.041375890374183655	0.06163199245929718	0.020256102085113525	0.0986880362033844	0.02963200118392706	0.003072023391723633	0.23756790161132812	0.19302405323833227	0.04454384837299585	0.12262403219938278	0.16716788057237864	1.3632554530629768
B8	5	3	0.3849279135465622	-0.1250559613108635	-0.19852805882692337	0.06134389340877533	0.07494409382343292	0.013600200414657593	0.06627202033996582	0.011968003585934639	0.00035202503204345703	0.15798377990722656	0.15353614278137684	0.004447637125849724	0.22694413363933563	0.23139177076518536	1.0195979382878344
B8	6	1	0.3589119240641594	-0.09849600493907928	-0.19811205565929413	0.06230386346578598	0.08534403145313263	0.02304016798734665	0.15049591660499573	-0.018976012244820595	-0.001024007797241211	0.23539161682128906	0.21583992801606655	0.01955168880522251	0.12352030724287033	0.14307199604809284	1.1582872423299533
B8	6	2	0.36243192851543427	-0.1343359872698784	-0.2103680521249771	0.017727889120578766	0.02444799244403839	0.006720103323459625	0.019328013062477112	0.011840003542602062	0.009215950965881348	0.058368682861328125	0.06483196001499891	-0.006463277153670788	0.30406324565410614	0.29759996850043535	0.9787436421663958
B8	6	3	0.3652799353003502	-0.14134397357702255	-0.19257605075836182	0.03135991096496582	0.0538240522146225	0.022464141249656677	0.03881596028804779	-0.02012800145894289	-0.001024000346660614	0.05324745178222656	0.07148801069706678	-0.01824055891484022	0.3120324835181236	0.2937919246032834	0.941542756352863
B16	0	1	0.38159991800785065	-0.2922879457473755	-0.08883201330900192	0.0004799589514732361	0.04131196439266205	0.04083200544118881	0.05897606909275055	-0.001375996507704258	0.007008055225014687	0.11059188842773438	0.10592009220272303	0.004671796225011349	0.27100802958011627	0.2756798258051276	1.0172385896914182
B16	0	2	0.36412791907787323	-0.2904639393091202	-0.09702403098344803	-0.023360051214694977	-0.02374403178691864	-0.00038398057222366333	0.016064003109931946	0.030176008120179176	-0.0049599409103393555	0.021503448486328125	0.017536038532853127	0.0039674099534749985	0.3426244705915451	0.3465918805450201	1.0115794705107468
B16	0	3	0.36643192917108536	-0.26854394376277924	-0.08291202783584595	0.014975957572460175	0.019327983260154724	0.0043520256876945496	0.05647999048233032	0.034048013389110565	-0.004096031188964844	0.1537914276123047	0.10575995594263077	0.04803147166967392	0.21264050155878067	0.2606719732284546	1.2258811059867467
B16	1	1	0.35903991758823395	-0.35423992574214935	-0.08355201780796051	-0.07875202596187592	-0.08361612260341644	-0.004864096641540527	-0.04486401379108429	-0.006911991164088249	0.004735939204692841	-0.18534469604492188	-0.13065618835389614	-0.054688507691025734	0.5443846136331558	0.4896961059421301	0.8995406807586985
B16	1	2	0.35795193910598755	-0.3201599419116974	-0.08428801596164703	-0.04649601876735687	-0.06307204067707062	-0.016576021909713745	-0.11395198106765747	-0.04038400016725063	-0.005120046436786652	-0.2767047882080078	-0.22252806834876537	-0.05417671985924244	0.6346567273139954	0.5804800074547529	0.9146361843692573
B16	1	3	0.36297592520713806	-0.3044159337878227	-0.08982402086257935	-0.03126402944326401	-0.02614399790763855	0.005120031535625458	-0.06291203200817108	-0.052608004771173	-0.01126396656036377	-0.1976318359375	-0.1529280012473464	-0.0447038346901536	0.5606077611446381	0.5159039264544845	0.9202582664947803
B16	2	1	0.36806393414735794	-0.3044159561395645	-0.09712003171443939	-0.033472053706645966	-0.03161604702472687	0.001856006681919098	-0.07187192142009735	-0.006496002897620201	-0.0054400041699409485	-0.16486358642578125	-0.11542397551238537	-0.04943961091339588	0.5329275205731392	0.4834879096597433	0.9072301410514025
