role	M	implementation	dose_mib	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
down_proj	1	AWQ_FP16_INPUT	0	0.06115199998021126	0.060416001826524734	0.06217600032687187	0.008621181894388498	[0.06217600032687187, 0.061184000223875046, 0.06143999844789505, 0.060416001826524734, 0.061055999249219894, 0.06063999980688095, 0.06115199998021126]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	16	0.062463998794555664	0.062463998794555664	0.06348799914121628	0.006971458554533974	[0.06335999816656113, 0.06313599646091461, 0.062463998794555664, 0.062463998794555664, 0.062463998794555664, 0.062463998794555664, 0.06348799914121628]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	24	0.06940799951553345	0.06860800087451935	0.07065600156784058	0.008099864607396876	[0.06860800087451935, 0.07065600156784058, 0.06940799951553345, 0.0692799985408783, 0.06940799951553345, 0.06943999975919724, 0.06963200122117996]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	28	0.07254400104284286	0.07168000191450119	0.07331199944019318	0.0074261797263412265	[0.07331199944019318, 0.07260800153017044, 0.07248000055551529, 0.07168000191450119, 0.07168000191450119, 0.07254400104284286, 0.0727040022611618]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	32	0.07599999755620956	0.07552000135183334	0.07680000364780426	0.0055013291479927996	[0.07552000135183334, 0.0764160007238388, 0.07638400048017502, 0.07599999755620956, 0.07680000364780426, 0.07577600330114365, 0.07577600330114365]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	36	0.07862400263547897	0.07782399654388428	0.08476799726486206	0.029163051669920084	[0.0798719972372055, 0.07862400263547897, 0.07843200117349625, 0.07840000092983246, 0.08191999793052673, 0.08476799726486206, 0.07782399654388428]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	48	0.08806400001049042	0.0870399996638298	0.08982399851083755	0.012791741332875731	[0.0896959975361824, 0.0870399996638298, 0.08806400001049042, 0.0870399996638298, 0.08806400001049042, 0.0870399996638298, 0.08982399851083755]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
down_proj	1	AWQ_FP16_INPUT	64	0.08873599767684937	0.0878399983048439	0.08908800035715103	0.005696400493273224	[0.0878399983048439, 0.08806400001049042, 0.08908800035715103, 0.08806400001049042, 0.08902399986982346, 0.08905600011348724, 0.08873599767684937]	e39ee4d42396f044115b2ec20734c5a0b7d41958c642ad264b1cbbe597aa2c59	ccfcd3eb82b4f60eabf13950b9739a6a2098ee23f6bbe347a12492520fc71689
q_proj	1	AWQ_FP16_INPUT	0	0.03161599859595299	0.03094400092959404	0.034591998904943466	0.03565168459784452	[0.034591998904943466, 0.031072000041604042, 0.03161599859595299, 0.03094400092959404, 0.03161599859595299, 0.03174399957060814, 0.03174399957060814]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
q_proj	1	AWQ_FP16_INPUT	32	0.03385600075125694	0.03276799991726875	0.035840000957250595	0.03747035155238106	[0.033952001482248306, 0.035840000957250595, 0.03385600075125694, 0.03276799991726875, 0.03276799991726875, 0.03276799991726875, 0.035840000957250595]	9b29f29aea7fc1c13587cb809868624041a2c613c777710c880cfdef46608497	c28496ca7553e9708f87f196539b0d45f8f0a1ae532deddb97458d439403990c
