attempt_uuid	variant	workload	stage	simulator_exit_status	strict_validation_status	cycles	instructions	validation_path	terminal_path	decision
c8275446-1225-4f70-b3de-3cd54db48e7d	B16-N	ATAX	G6	0	PASS	87528531	145666048	/workspace/wave-a-sg1-runs/sg1_g6_B16-N_ATAX_c8275446-1225-4f70-b3de-3cd54db48e7d/VALIDATION.json	/workspace/wave-a-sg1-runs/sg1_g6_B16-N_ATAX_c8275446-1225-4f70-b3de-3cd54db48e7d/RUN_TERMINAL.tsv	ACCEPTED_DIRECT_G6_ROW
74dc890b-fac7-4d8d-82d9-1f2b240badd6	B16-N	GESUMMV	G6	0	PASS	196113130	190918656	/workspace/wave-a-sg1-runs/sg1_g6_B16-N_GESUMMV_74dc890b-fac7-4d8d-82d9-1f2b240badd6/VALIDATION.json	/workspace/wave-a-sg1-runs/sg1_g6_B16-N_GESUMMV_74dc890b-fac7-4d8d-82d9-1f2b240badd6/RUN_TERMINAL.tsv	ACCEPTED_DIRECT_G6_ROW
3e900347-47ad-415b-ad8b-565e7b05aa00	TC80-N	GESUMMV	G6	0	PASS	89365338	190918656	/workspace/wave-a-sg1-runs/sg1_g6_TC80-N_GESUMMV_3e900347-47ad-415b-ad8b-565e7b05aa00/VALIDATION.json	/workspace/wave-a-sg1-runs/sg1_g6_TC80-N_GESUMMV_3e900347-47ad-415b-ad8b-565e7b05aa00/RUN_TERMINAL.tsv	ACCEPTED_DIRECT_G6_ROW
