snapshot_utc	cohort	workload	variant	cycles	instructions	pib_admits	validation	attempt_dir	evidence_boundary
2026-09-22T13:00:32Z	G6	2DConvolution	B16-N	2676088	620347492	5240320	PASS row-local	sg1_g6_B16-N_2DConvolution_9623f41f-d3c1-4405-ac6f-10ca046fd84e	canonical G6 primary-control evidence
2026-09-22T13:00:32Z	G6	2DConvolution	TC80-N	1991426	620347492	5240320	PASS row-local	sg1_g6_TC80-N_2DConvolution_5b48158c-1746-4f7d-8041-aa5494572c7e	canonical G6 primary-control evidence
2026-09-22T13:00:32Z	G6	ATAX	TC80-N	29221093	145666048	3145984	PASS row-local	sg1_g6_TC80-N_ATAX_098a3e79-71c6-4223-9033-fccc942c78a0	canonical G6 primary-control evidence
2026-09-22T13:00:32Z	G6	Gaussian	B16-N	4227927	283685120	743656	PASS reconciliation	sg1_g6_B16-N_Gaussian_6aff199e-4222-49a3-aadd-ccec44083b6b	canonical G6 primary-control evidence
2026-09-22T13:00:32Z	G6	Gaussian	TC80-N	3466619	283685120	743656	PASS reconciliation	sg1_g6_TC80-N_Gaussian_65281f75-e17f-4d01-a0ec-4955bb459e42	canonical G6 primary-control evidence
2026-09-22T13:00:32Z	FAST12	MRI-Q	B16-N	366218	1411757056	21792	PASS row-local	sg1_fast12_B16-N_MRI-Q_4bbbc7db-133a-4b49-8f4d-2d53a5809ddb	provisional until all G6 cells close
2026-09-22T13:00:32Z	FAST12	MRI-Q	TC80-N	367214	1411757056	21792	PASS row-local	sg1_fast12_TC80-N_MRI-Q_0fed813b-e0d9-419d-9ee4-04a0b616b812	provisional until all G6 cells close
