schema	pair	classification	workload	mode	counter	stat_block_count	observer_off_terminal_value	observer_on_terminal_value
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_pending_tag_evictions	2	0	394
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_pending_eviction_to_response_count	2	0	394
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_pending_eviction_to_response_sum_cycles	2	0	48163
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_pending_eviction_to_response_max_cycles	2	0	562
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_observer_sample_sm_cycles	2	0	14842238
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_physical_allocated_line_cycles	2	0	2017882587
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_physical_full_sm_cycles	2	0	0
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_inflight_request_cycles	2	0	132733453
POST_FAST64_OBSERVER_D3B_V1	btree_io	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	IO	DTC_L1_io_observer_live_records	2	0	0
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_duplicate_after_eviction	2	0	57
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_alloc_to_ready_count	2	0	502450
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_alloc_to_ready_sum_cycles	2	0	151008754
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_alloc_to_ready_max_cycles	2	0	2392
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_pending_tag_evictions	2	0	4207
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_deferred_tag_eviction_to_final_reclaim_count	2	0	4855
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_deferred_tag_eviction_to_final_reclaim_sum_cycles	2	0	645503
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_deferred_tag_eviction_to_final_reclaim_max_cycles	2	0	941
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_observer_sample_sm_cycles	2	0	10268739
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_physical_allocated_line_cycles	2	0	1282185963
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_physical_full_sm_cycles	2	0	0
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_inflight_request_cycles	2	0	150506304
POST_FAST64_OBSERVER_D3B_V1	btree_oo	POST_FAST64_EXPLORATORY_NOT_PRIMARY_RESULT	Btree	OO	DTC_L1_oo_observer_live_records	2	0	0
