config_sha,core_sha,cycles,formal_validity,framework_sha,instructions,normal_simulator_exit,parser_success,payload_consistency,required_artifacts_present,status,terminal_clean,trace,variant,wall_seconds,workload
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,110653,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,157583646,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g,B0-Legacy,319.219,sad
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,110653,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,157583646,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g,B0-Banked,362.221,sad
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,353756,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,1658916864,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g,B0-Legacy,824.269,sgemm
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,353756,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,1658916864,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces/kernelslist.g,B0-Banked,815.565,sgemm
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,126259,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,444467849,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g,B0-Legacy,414.948,btree
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,126259,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,444467849,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces/kernelslist.g,B0-Banked,419.707,btree
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,493466,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,791609344,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g,B0-Legacy,1236.671,FWT_7_21
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,493466,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,791609344,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g,B0-Banked,1213.806,FWT_7_21
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,171549,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,180944896,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g,B0-Legacy,248.577,FWT_11_19
85562fce759876616806d32791ea3b7d1b13ee68cf20a84e48c63c96f67b8c0d,ece1a3a77c5628763e0a4605bfd1c639ee6a1495,171549,VALID_FOR_FORMAL,f08d2ce857972fad73c4e1ab7162ba94c6336507,180944896,1,1,1,1,COMPLETE_VALID,1,/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g,B0-Banked,259.628,FWT_11_19
