point_id	pattern	ratio_id	mode	status	migration_count	migration_bytes	migration_time_ns	htod_bytes	dtoh_bytes	prefetch_runtime_calls	gpu_fault_events	cpu_fault_events	breakdown_json	observability
P2_R1_M0	P2	R1	M0	COMPLETE	205947	16313528320	906579997	16313217024	311296	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 65536, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 245760, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 2421219328, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 13891997696}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P2_R1_M1	P2	R1	M1	COMPLETE	7819	16313528320	689461265	16313217024	311296	1	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 65536, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 245760, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 65536, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 245760, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 16312905728}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P2_R2_M0	P2	R2	M0	COMPLETE	1906916	200834510848	10108595181	108610617344	92223893504	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 65536, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_EVICTION"": 92223090688, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 737280, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 22397681664, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 86212935680}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P2_R2_M1	P2	R2	M1	NOT_APPLICABLE_OVERSUBSCRIBED							UNAVAILABLE	UNAVAILABLE		NOT_APPLICABLE
P2_R3_M0	P2	R3	M0	COMPLETE	2367036	230009274368	11784894472	123454156800	106555117568	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 61440, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_EVICTION"": 106554195968, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 860160, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 26479788032, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 96974368768}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P2_R3_M1	P2	R3	M1	NOT_APPLICABLE_OVERSUBSCRIBED							UNAVAILABLE	UNAVAILABLE		NOT_APPLICABLE
P3_R0_M0	P3	R0	M0	COMPLETE	100302	5641826304	346503742	5640466432	1359872	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 1228800, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 1371410432, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 4269056000}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P3_R0_M1	P3	R0	M1	COMPLETE	6220	12879794176	544847139	12879233024	561152	1	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 430080, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 491520, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 12878610432}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P3_R1_M0	P3	R1	M0	COMPLETE	118483	7144681472	430400062	7142584320	2097152	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 1966080, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 1636761600, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 5505822720}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P3_R1_M1	P3	R1	M1	COMPLETE	7907	16317100032	690079560	16315002880	2097152	1	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 1966080, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 1966080, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_USER"": 16312905728}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P3_R2_M0	P3	R2	M0	COMPLETE	138095	8273432576	499177789	8271335424	2097152	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 1966080, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 1901817856, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 6369517568}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P3_R2_M1	P3	R2	M1	NOT_APPLICABLE_OVERSUBSCRIBED							UNAVAILABLE	UNAVAILABLE		NOT_APPLICABLE
P3_R3_M0	P3	R3	M0	COMPLETE	174015	9399435264	585624025	9397338112	2097152	0	UNAVAILABLE	UNAVAILABLE	"{""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 131072, ""CUDA_MEMCPY_KIND_UVM_DTOH|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 1966080, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_COHERENCE"": 2300891136, ""CUDA_MEMCPY_KIND_UVM_HTOD|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_MEMOPR_MEMORY_KIND_UNKNOWN|CUDA_UNIFIED_MEMORY_MIGRATION_CAUSE_PREFETCH"": 7096446976}"	MIGRATION_MEMCPY_AVAILABLE_FAULT_COUNTERS_UNAVAILABLE
P3_R3_M1	P3	R3	M1	NOT_APPLICABLE_OVERSUBSCRIBED							UNAVAILABLE	UNAVAILABLE		NOT_APPLICABLE
