140183293992960	140183293997056	model.layers.9.input_layernorm.weight
140183293997056	140183294001152	model.layers.9.post_attention_layernorm.weight
140183294001152	140183296098304	model.layers.10.self_attn.q_proj.weight
140183296098304	140183296622592	model.layers.10.self_attn.k_proj.weight
140183296622592	140183297146880	model.layers.10.self_attn.v_proj.weight
140183297146880	140183299244032	model.layers.10.self_attn.o_proj.weight
140183299244032	140183307632640	model.layers.10.mlp.gate_proj.weight
140183307632640	140183316021248	model.layers.10.mlp.up_proj.weight
140183316021248	140183324409856	model.layers.10.mlp.down_proj.weight
140183324409856	140183324413952	model.layers.10.input_layernorm.weight
140183324413952	140183324418048	model.layers.10.post_attention_layernorm.weight
140183324418048	140183326515200	model.layers.11.self_attn.q_proj.weight
140183326515200	140183327039488	model.layers.11.self_attn.k_proj.weight
140183327039488	140183327563776	model.layers.11.self_attn.v_proj.weight
140183327563776	140183329660928	model.layers.11.self_attn.o_proj.weight
140183329660928	140183338049536	model.layers.11.mlp.gate_proj.weight
140183338049536	140183346438144	model.layers.11.mlp.up_proj.weight
140183346438144	140183354826752	model.layers.11.mlp.down_proj.weight
140183354826752	140183354830848	model.layers.11.input_layernorm.weight
140183354830848	140183354834944	model.layers.11.post_attention_layernorm.weight
140183354834944	140183356932096	model.layers.12.self_attn.q_proj.weight
140183356932096	140183357456384	model.layers.12.self_attn.k_proj.weight
140183357456384	140183357980672	model.layers.12.self_attn.v_proj.weight
140183357980672	140183360077824	model.layers.12.self_attn.o_proj.weight
140183360077824	140183368466432	model.layers.12.mlp.gate_proj.weight
140183368466432	140183376855040	model.layers.12.mlp.up_proj.weight
140183376855040	140183385243648	model.layers.12.mlp.down_proj.weight
140183385243648	140183385247744	model.layers.12.input_layernorm.weight
140183385247744	140183385251840	model.layers.12.post_attention_layernorm.weight
140183385251840	140183387348992	model.layers.13.self_attn.q_proj.weight
140183387348992	140183387873280	model.layers.13.self_attn.k_proj.weight
140183387873280	140183388397568	model.layers.13.self_attn.v_proj.weight
140183388397568	140183390494720	model.layers.13.self_attn.o_proj.weight
140183390494720	140183398883328	model.layers.13.mlp.gate_proj.weight
140183398883328	140183407271936	model.layers.13.mlp.up_proj.weight
140183407271936	140183415660544	model.layers.13.mlp.down_proj.weight
140183415660544	140183415664640	model.layers.13.input_layernorm.weight
140183415664640	140183415668736	model.layers.13.post_attention_layernorm.weight
140183415668736	140183417765888	model.layers.14.self_attn.q_proj.weight
140183417765888	140183418290176	model.layers.14.self_attn.k_proj.weight
140183418290176	140183418814464	model.layers.14.self_attn.v_proj.weight
140183418814464	140183420911616	model.layers.14.self_attn.o_proj.weight
140183420911616	140183429300224	model.layers.14.mlp.gate_proj.weight
140183429300224	140183437688832	model.layers.14.mlp.up_proj.weight
140183437688832	140183446077440	model.layers.14.mlp.down_proj.weight
140183446077440	140183446081536	model.layers.14.input_layernorm.weight
140183446081536	140183446085632	model.layers.14.post_attention_layernorm.weight
140183446085632	140183448182784	model.layers.15.self_attn.q_proj.weight
140183448182784	140183448707072	model.layers.15.self_attn.k_proj.weight
140183448707072	140183449231360	model.layers.15.self_attn.v_proj.weight
140183449231360	140183451328512	model.layers.15.self_attn.o_proj.weight
140183451328512	140183459717120	model.layers.15.mlp.gate_proj.weight
140183459717120	140183468105728	model.layers.15.mlp.up_proj.weight
140183468105728	140183476494336	model.layers.15.mlp.down_proj.weight
140183476494336	140183476498432	model.layers.15.input_layernorm.weight
140183476498432	140183476502528	model.layers.15.post_attention_layernorm.weight
140183476502528	140183476506624	model.norm.weight
