source	roi	profile	scope	metric	value	provenance
translation_runtime_counter	prefill	generic	GLOBAL_OR_OBJECT	vm_translation_requester_latency_cycles_total	1057797033	simulator_runtime_counter
translation_runtime_counter	prefill	generic	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_max	3023	simulator_runtime_counter
translation_runtime_counter	prefill	generic	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_total	18333032	simulator_runtime_counter
translation_runtime_counter	prefill	generic	GLOBAL_OR_OBJECT	vm_translation_stall_cycles	1057797033	simulator_runtime_counter
translation_runtime_counter	prefill	generic	GLOBAL_OR_OBJECT	vm_translation_waiter_registrations	56467	simulator_runtime_counter
translation_runtime_counter	prefill	generic	GLOBAL_OR_OBJECT	vm_translation_waiter_wakeups	56467	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_l1_tlb_lookup_latency_cycles	10	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_l1_tlb_port_stalls	0	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_l2_tlb_lookup_latency_cycles	80	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_l2_tlb_port_stalls	933399	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_pte_memory_wait_cycles_max	5582	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_pte_memory_wait_cycles_total	7890698	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_pwc_lookup_latency_cycles	1	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_mshr_waiter_depth_max	35	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_mshr_waiter_depth_total	45844	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_pending_waiter_bypasses	17799001	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_requester_latency_cycles_max	5675	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_requester_latency_cycles_total	1048210258	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_max	5585	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_total	17799001	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_stall_cycles	1048210258	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_waiter_registrations	45844	simulator_runtime_counter
translation_runtime_counter	prefill	paper	GLOBAL_OR_OBJECT	vm_translation_waiter_wakeups	45844	simulator_runtime_counter
native_memory_system_stat	decode1	disabled	GLOBAL	averagemflatency	630	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	disabled	GLOBAL	avg_icnt2mem_latency	208	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	disabled	GLOBAL	avg_icnt2sh_latency	61	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	disabled	GLOBAL	avg_mrq_latency	34	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	disabled	GLOBAL	max_icnt2mem_latency	3990	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	disabled	GLOBAL	max_icnt2sh_latency	888	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	disabled	GLOBAL	maxmflatency	4633	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	disabled	GLOBAL	maxmrqlatency	1920	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	averagemflatency	630	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	avg_icnt2mem_latency	208	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	avg_icnt2sh_latency	61	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	avg_mrq_latency	34	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	max_icnt2mem_latency	3990	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	max_icnt2sh_latency	888	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	maxmflatency	4633	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	ideal	GLOBAL	maxmrqlatency	1920	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	averagemflatency	371	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	avg_icnt2mem_latency	32	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	avg_icnt2sh_latency	2	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	avg_mrq_latency	16	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	max_icnt2mem_latency	2999	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	max_icnt2sh_latency	427	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	maxmflatency	3606	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	generic	GLOBAL	maxmrqlatency	913	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	averagemflatency	1257	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	avg_icnt2mem_latency	794	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	avg_icnt2sh_latency	2	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	avg_mrq_latency	52	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	max_icnt2mem_latency	9222	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	max_icnt2sh_latency	304	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	maxmflatency	10354	existing_gpgpu_sim_stat
native_memory_system_stat	decode1	paper	GLOBAL	maxmrqlatency	3208	existing_gpgpu_sim_stat
native_memory_system_stat	prefill	disabled	GLOBAL	averagemflatency	710	existing_gpgpu_sim_stat
