roi	profile	object_class	metric	value	provenance
prefill	paper	WEIGHT	requester_latency_cycles_max	1804	simulator_runtime_counter
prefill	paper	WEIGHT	requester_latency_cycles_total	496458101	simulator_runtime_counter
prefill	paper	WEIGHT	requester_mshr_wait_cycles_max	1714	simulator_runtime_counter
prefill	paper	WEIGHT	requester_mshr_wait_cycles_total	8271305	simulator_runtime_counter
prefill	paper	WEIGHT	translation_requesters	48034863	simulator_runtime_counter
prefill	paper	WEIGHT	unique_translation_keys	15443	simulator_runtime_counter
prefill	paper	WEIGHT	walk_starts	15450	simulator_runtime_counter
prefill	paper	WEIGHT	translation_requester_share	0.510752131257	derived_from_runtime_counters
prefill	paper	KV_CACHE	translation_requester_share	0.021759633992	derived_from_runtime_counters
prefill	paper	UNKNOWN	translation_requester_share	0.467488234751	derived_from_runtime_counters
