roi	profile	metric	value	provenance
decode1	generic	vm_translation_requester_mshr_wait_cycles_total	9065536	simulator_runtime_counter
decode1	generic	vm_translation_stall_cycles	773733827	simulator_runtime_counter
decode1	generic	vm_translation_waiter_registrations	23805	simulator_runtime_counter
decode1	generic	vm_translation_waiter_wakeups	23805	simulator_runtime_counter
decode1	generic	vm_translation_walk_completions	15694	simulator_runtime_counter
decode1	generic	vm_translation_walk_starts	15694	simulator_runtime_counter
decode1	generic	vm_translation_walkers_active	0	simulator_runtime_counter
decode1	paper	vm_l1_tlb_accesses	76022343	simulator_runtime_counter
decode1	paper	vm_l1_tlb_evictions	56806	simulator_runtime_counter
decode1	paper	vm_l1_tlb_hits	75964417	simulator_runtime_counter
decode1	paper	vm_l1_tlb_lookup_completions	76022343	simulator_runtime_counter
decode1	paper	vm_l1_tlb_lookup_latency_cycles	10	simulator_runtime_counter
decode1	paper	vm_l1_tlb_lookup_launches	76022343	simulator_runtime_counter
decode1	paper	vm_l1_tlb_lookup_service_cycles	760223430	simulator_runtime_counter
decode1	paper	vm_l1_tlb_misses	57926	simulator_runtime_counter
decode1	paper	vm_l1_tlb_occupancy	1120	simulator_runtime_counter
decode1	paper	vm_l1_tlb_port_stalls	0	simulator_runtime_counter
decode1	paper	vm_l2_tlb_accesses	57926	simulator_runtime_counter
decode1	paper	vm_l2_tlb_evictions	14923	simulator_runtime_counter
decode1	paper	vm_l2_tlb_hits	35518	simulator_runtime_counter
decode1	paper	vm_l2_tlb_lookup_completions	57926	simulator_runtime_counter
decode1	paper	vm_l2_tlb_lookup_latency_cycles	80	simulator_runtime_counter
decode1	paper	vm_l2_tlb_lookup_launches	57926	simulator_runtime_counter
decode1	paper	vm_l2_tlb_lookup_service_cycles	4634080	simulator_runtime_counter
decode1	paper	vm_l2_tlb_misses	22408	simulator_runtime_counter
decode1	paper	vm_l2_tlb_occupancy	768	simulator_runtime_counter
decode1	paper	vm_l2_tlb_port_stalls	313232	simulator_runtime_counter
decode1	paper	vm_object_attribution_conservation_pass	1	simulator_runtime_counter
decode1	paper	vm_object_attribution_enabled	1	simulator_runtime_counter
decode1	paper	vm_pte_dram_responses	4100	simulator_runtime_counter
decode1	paper	vm_pte_l2_only_responses	11686	simulator_runtime_counter
decode1	paper	vm_pte_memory_wait_cycles_max	7210	simulator_runtime_counter
decode1	paper	vm_pte_memory_wait_cycles_total	6560190	simulator_runtime_counter
decode1	paper	vm_pte_requests	15786	simulator_runtime_counter
decode1	paper	vm_pte_response_misassociations	0	simulator_runtime_counter
decode1	paper	vm_pte_responses	15786	simulator_runtime_counter
decode1	paper	vm_pwc_accesses	47073	simulator_runtime_counter
decode1	paper	vm_pwc_entries_configured	128	simulator_runtime_counter
decode1	paper	vm_pwc_evictions	0	simulator_runtime_counter
decode1	paper	vm_pwc_hits	46978	simulator_runtime_counter
decode1	paper	vm_pwc_inserts	42	simulator_runtime_counter
decode1	paper	vm_pwc_level_0_accesses	15691	simulator_runtime_counter
decode1	paper	vm_pwc_level_0_hits	15689	simulator_runtime_counter
decode1	paper	vm_pwc_level_0_misses	2	simulator_runtime_counter
decode1	paper	vm_pwc_level_0_pte_requests_skipped	15689	simulator_runtime_counter
decode1	paper	vm_pwc_level_1_accesses	15691	simulator_runtime_counter
decode1	paper	vm_pwc_level_1_hits	15688	simulator_runtime_counter
decode1	paper	vm_pwc_level_1_misses	3	simulator_runtime_counter
decode1	paper	vm_pwc_level_1_pte_requests_skipped	15688	simulator_runtime_counter
decode1	paper	vm_pwc_level_2_accesses	15691	simulator_runtime_counter
decode1	paper	vm_pwc_level_2_hits	15601	simulator_runtime_counter
decode1	paper	vm_pwc_level_2_misses	90	simulator_runtime_counter
decode1	paper	vm_pwc_level_2_pte_requests_skipped	15601	simulator_runtime_counter
decode1	paper	vm_pwc_level_3_accesses	0	simulator_runtime_counter
decode1	paper	vm_pwc_level_3_hits	0	simulator_runtime_counter
decode1	paper	vm_pwc_level_3_misses	0	simulator_runtime_counter
decode1	paper	vm_pwc_level_3_pte_requests_skipped	0	simulator_runtime_counter
decode1	paper	vm_pwc_lookup_latency_cycles	1	simulator_runtime_counter
decode1	paper	vm_pwc_misses	95	simulator_runtime_counter
decode1	paper	vm_pwc_mode	1	simulator_runtime_counter
decode1	paper	vm_pwc_occupancy	42	simulator_runtime_counter
decode1	paper	vm_pwc_occupancy_high_watermark	42	simulator_runtime_counter
decode1	paper	vm_pwc_service_cycles	47073	simulator_runtime_counter
decode1	paper	vm_translation_lookup_inflight_bypasses	688947013	simulator_runtime_counter
decode1	paper	vm_translation_lookup_requests	76022343	simulator_runtime_counter
decode1	paper	vm_translation_mshr_active	0	simulator_runtime_counter
decode1	paper	vm_translation_mshr_allocations	15691	simulator_runtime_counter
decode1	paper	vm_translation_mshr_entries_completed	15691	simulator_runtime_counter
decode1	paper	vm_translation_mshr_full_events	130257	simulator_runtime_counter
decode1	paper	vm_translation_mshr_lifetime_cycles_max	10004	simulator_runtime_counter
decode1	paper	vm_translation_mshr_lifetime_cycles_total	7331345	simulator_runtime_counter
decode1	paper	vm_translation_mshr_merges	6717	simulator_runtime_counter
decode1	paper	vm_translation_mshr_occupancy_high_watermark	32	simulator_runtime_counter
decode1	paper	vm_translation_mshr_waiter_depth_max	35	simulator_runtime_counter
decode1	paper	vm_translation_mshr_waiter_depth_total	22408	simulator_runtime_counter
decode1	paper	vm_translation_page_size_bytes	65536	simulator_runtime_counter
decode1	paper	vm_translation_pending_waiter_bypasses	9552488	simulator_runtime_counter
decode1	paper	vm_translation_pwq_full_events	0	simulator_runtime_counter
decode1	paper	vm_translation_pwq_occupancy	0	simulator_runtime_counter
decode1	paper	vm_translation_requester_completions	76022343	simulator_runtime_counter
decode1	paper	vm_translation_requester_l1_queue_cycles_max	0	simulator_runtime_counter
decode1	paper	vm_translation_requester_l1_queue_cycles_total	0	simulator_runtime_counter
