target	neutral_exact	translation_not_ready_events	translation_ready_events	scheduler_dependency_events	scheduler_eligible_structural_events	ldst_coal_stall_events	ldst_resource_stall_events	ldst_icnt_stall_events	l1_reservation_fail_events	icnt_to_l2_occupancy_mean	dram_queue_occupancy_mean
T0	True	6728290	0	4938393	74288878	7147748	1668015	732489	76320	5.70460451	7.068818979
T1	True	6647803	0	2400204	158006367	7908820	3867668	3010101	823434	2.455724568	0.860284561
T2	True	3446713	0	11925209	11851238	3450308	423860	0	1125174	28.703103399	43.074662011
A2	True	3189222	0	19426241	11106135	3209200	2274903	0	9713833	14.560440255	29.246390378
