profile_id	kernel_index	nvtx_range_evidence	kernel_name	grid_size	block_size	profiler_replayer_passes	metric_name	unit	value
CODE_down_proj_M1_AWQ_WARM	1	"1234372  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_AWQ_WARM:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	0.0
CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	0	"1234287  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	271695872.0
CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	0	"1234287  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	141640992.0
CODE_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	0	"1234287  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	135859072.0
CODE_down_proj_M1_RAW_WARM	0	"1234202  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_WARM:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	271695872.0
CODE_down_proj_M1_RAW_WARM	0	"1234202  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_WARM:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	141551712.0
CODE_down_proj_M1_RAW_WARM	0	"1234202  ""<default domain>:C16_E1_RES_CODE_DOWN_PROJ_M1_RAW_WARM:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	135911552.0
PRESSURE_QUALIFICATION	0	"1231980  ""<default domain>:C16_E1_PRESSURE_SPARSE_256MIB:none:none:none:none:none:none"""	void reduce_kernel<512, 1, ReduceOp<float, func_wrapper_t<float, sum_functor<float, float, float>::operator ()(TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, 4>>(T3)	(1, 1, 1)	(512, 1, 1)	1	l1tex__t_bytes.sum	byte	2097184.0
PRESSURE_QUALIFICATION	0	"1231980  ""<default domain>:C16_E1_PRESSURE_SPARSE_256MIB:none:none:none:none:none:none"""	void reduce_kernel<512, 1, ReduceOp<float, func_wrapper_t<float, sum_functor<float, float, float>::operator ()(TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, 4>>(T3)	(1, 1, 1)	(512, 1, 1)	1	lts__t_bytes.sum	byte	2538400.0
PRESSURE_QUALIFICATION	0	"1231980  ""<default domain>:C16_E1_PRESSURE_SPARSE_256MIB:none:none:none:none:none:none"""	void reduce_kernel<512, 1, ReduceOp<float, func_wrapper_t<float, sum_functor<float, float, float>::operator ()(TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, 4>>(T3)	(1, 1, 1)	(512, 1, 1)	1	dram__bytes.sum	byte	4006656.0
PRESSURE_QUALIFICATION	1	"1231980  ""<default domain>:C16_E1_PRESSURE_DENSE_256MIB:none:none:none:none:none:none"""	void reduce_kernel<512, 1, ReduceOp<float, func_wrapper_t<float, sum_functor<float, float, float>::operator ()(TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, 4>>(T3)	(1, 512, 1)	(512, 1, 1)	1	l1tex__t_bytes.sum	byte	268470304.0
