line_reuse_fraction,one_touch_sector_fraction,sector_temporal_reuse_fraction,spatial_new_sector_fraction,workload
0.75,1.0,0.0,0.75,vectorAdd_4M
0.7738099620807717,0.8947347005208334,0.09523984832308655,0.6785701137576851,convolutionSeparable
0.7797159692501596,0.8755544745676183,0.1188850954938286,0.6608308737563311,sad
0.7826400527039679,0.9735451426623197,0.13215982247084523,0.6504802302331226,spmv
0.8717948717948718,0.05,0.48717948717948717,0.38461538461538464,FWT_7_21
0.8907051202725172,0.8959619976943346,0.5628204810900689,0.32788463918244837,cfd_097k
0.7680055055817098,0.9305085212953629,0.0720220223268391,0.6959834832548707,dwt2d
0.9058846346434591,0.46882830245446255,0.6929248975619389,0.21295973708152025,btree
0.9986650830461092,0.0,0.9946603321844372,0.004004750861672164,gemm
0.75,1.0,0.0,0.75,BlackScholes
0.7573727221968428,0.9026824703680599,0.10496929089893914,0.6524034312979037,mergeSort
0.7894736842105263,0.9375,0.15789473684210525,0.631578947368421,transpose
