metric	pre_q05_cumulative	post_q05_cumulative	target_delta
L2_cache_stats_breakdown[TEXTURE_ACC_R][SECTOR_MISS]	0	0	0
L2_cache_stats_fail_breakdown[GLOBAL_ACC_R][MSHR_ENRTY_FAIL]	2670	2709	39
L2_cache_stats_fail_breakdown[GLOBAL_ACC_R][MSHR_MERGE_ENRTY_FAIL]	164778	164778	0
L2_total_cache_accesses	6873307	9337657	2464350
L2_total_cache_misses	4344916	5520478	1175562
L2_total_cache_pending_hits	102835	103016	181
L2_total_cache_reservation_fails	167448	167487	39
gpgpu_n_cmem_portconflict	0	0	0
gpgpu_n_const_mem_insn	0	0	0
gpgpu_n_intrawarp_mshr_merge	0	0	0
gpgpu_n_l1cache_bkconflict	0	0	0
gpgpu_n_load_insn	40864768	49588224	8723456
gpgpu_n_mem_const	0	0	0
gpgpu_n_mem_read_global	4764127	6828511	2064384
gpgpu_n_mem_read_local	0	31244	31244
gpgpu_n_mem_texture	0	0	0
gpgpu_n_mem_write_global	2108672	2226944	118272
gpgpu_n_mem_write_local	0	250432	250432
gpgpu_n_param_mem_insn	0	0	0
gpgpu_n_shmem_bkconflict	1337088	3003648	1666560
gpgpu_n_shmem_insn	17000448	35694592	18694144
gpgpu_n_sstarr_insn	0	0	0
gpgpu_n_stall_shd_mem	89625770	125302718	35676948
gpgpu_n_store_insn	23927808	26074624	2146816
gpgpu_n_tex_insn	0	0	0
gpgpu_n_tot_thrd_icount	1473821184	1905521152	431699968
gpgpu_n_tot_w_icount	46056912	59547536	13490624
gpgpu_stall_shd_mem[c_mem][resource_stall]	0	0	0
gpgpu_stall_shd_mem[gl_mem][coal_stall]	88288682	122299070	34010388
gpgpu_stall_shd_mem[gl_mem][data_port_stall]	0	0	0
gpgpu_stall_shd_mem[gl_mem][resource_stall]	0	0	0
gpgpu_stall_shd_mem[s_mem][bk_conf]	1337088	3003648	1666560
gpu_sim_cycle	87007	1619068	1532061
gpu_sim_insn	87621632	368696302	281074670
vm_disabled_bypasses	0	0	0
vm_fair_arm_charged_bits	66000	66000	0
vm_fair_arm_id	1	1	0
vm_fair_l2_associativity_realized	16	16	0
vm_fair_l2_entries_realized	768	768	0
vm_fair_l2_sets_realized	48	48	0
vm_fill_race_l1_launch_hit_complete_hit	0	0	0
vm_fill_race_l1_launch_hit_complete_miss	0	0	0
vm_fill_race_l1_launch_miss_complete_hit	0	0	0
vm_fill_race_l1_launch_miss_complete_miss	0	0	0
vm_functional_completed	7686400	10776704	3090304
vm_functional_mapper_lookups	484	499	15
vm_ideal_translations	7686400	10776704	3090304
vm_identity_equal	7686400	10776704	3090304
vm_l1_tlb_accesses	7688357	10778769	3090412
vm_l1_tlb_evictions	61992	65388	3396
vm_l1_tlb_hits	7625245	10712261	3087016
vm_l1_tlb_lookup_completions	7688357	10778769	3090412
vm_l1_tlb_lookup_latency_cycles	10	10	0
vm_l1_tlb_lookup_launches	7688357	10778769	3090412
vm_l1_tlb_lookup_service_cycles	76883570	107787690	30904120
vm_l1_tlb_misses	63112	66508	3396
vm_l1_tlb_occupancy	1120	1120	0
vm_l1_tlb_port_stalls	0	0	0
vm_l2_tlb_accesses	63112	66508	3396
vm_l2_tlb_evictions	0	0	0
vm_l2_tlb_hits	61155	64443	3288
vm_l2_tlb_lookup_completions	63112	66508	3396
vm_l2_tlb_lookup_latency_cycles	80	80	0
vm_l2_tlb_lookup_launches	63112	66508	3396
vm_l2_tlb_lookup_service_cycles	5048960	5320640	271680
vm_l2_tlb_misses	1957	2065	108
vm_l2_tlb_mode	0	0	0
vm_l2_tlb_occupancy	484	499	15
vm_l2_tlb_port_stalls	41858	45450	3592
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_KV_CACHE	0	0	0
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_UNKNOWN	0	0	0
vm_l2_tlb_replacement_incoming_KV_CACHE_victim_WEIGHT	0	0	0
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_KV_CACHE	0	0	0
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_UNKNOWN	0	0	0
vm_l2_tlb_replacement_incoming_UNKNOWN_victim_WEIGHT	0	0	0
vm_l2_tlb_replacement_incoming_WEIGHT_victim_KV_CACHE	0	0	0
vm_l2_tlb_replacement_incoming_WEIGHT_victim_UNKNOWN	0	0	0
vm_l2_tlb_replacement_incoming_WEIGHT_victim_WEIGHT	0	0	0
vm_object_KV_CACHE_completed	7688357	10778769	3090412
vm_object_KV_CACHE_l1_hits	7625245	10712261	3087016
vm_object_KV_CACHE_l1_lookup_launches	7688357	10778769	3090412
vm_object_KV_CACHE_l1_misses	63112	66508	3396
vm_object_KV_CACHE_l2_fills	484	499	15
vm_object_KV_CACHE_l2_hits	61155	64443	3288
vm_object_KV_CACHE_l2_lookup_launches	63112	66508	3396
vm_object_KV_CACHE_l2_misses	1957	2065	108
vm_object_KV_CACHE_mshr_allocations	484	499	15
vm_object_KV_CACHE_mshr_merges	1473	1566	93
vm_object_KV_CACHE_pte_dram_responses	164	174	10
vm_object_KV_CACHE_pte_l2_only_responses	344	352	8
vm_object_KV_CACHE_pte_memory_wait_cycles_max	1216	1297	81
vm_object_KV_CACHE_pte_memory_wait_cycles_total	171768	179745	7977
vm_object_KV_CACHE_pte_requests	508	526	18
vm_object_KV_CACHE_pwc_accesses	1452	1497	45
vm_object_KV_CACHE_pwc_hits	1428	1470	42
vm_object_KV_CACHE_pwc_misses	24	27	3
vm_object_KV_CACHE_requester_latency_cycles_max	1972	2013	41
vm_object_KV_CACHE_requester_latency_cycles_total	82629034	113892846	31263812
vm_object_KV_CACHE_requester_mshr_wait_cycles_max	1882	1923	41
vm_object_KV_CACHE_requester_mshr_wait_cycles_total	686697	773875	87178
vm_object_KV_CACHE_translation_requesters	7688357	10778769	3090412
vm_object_KV_CACHE_unique_translation_keys	484	499	15
vm_object_KV_CACHE_walk_starts	484	499	15
vm_object_UNKNOWN_completed	0	0	0
vm_object_UNKNOWN_l1_hits	0	0	0
vm_object_UNKNOWN_l1_lookup_launches	0	0	0
vm_object_UNKNOWN_l1_misses	0	0	0
vm_object_UNKNOWN_l2_fills	0	0	0
vm_object_UNKNOWN_l2_hits	0	0	0
vm_object_UNKNOWN_l2_lookup_launches	0	0	0
vm_object_UNKNOWN_l2_misses	0	0	0
vm_object_UNKNOWN_mshr_allocations	0	0	0
vm_object_UNKNOWN_mshr_merges	0	0	0
