state	stride	locations	warps	policy	n	median	mean	p10	p90
CORE	65536	256	1	default	50	52.0	54.46	52.0	52.0
CORE	65536	32	1	default	50	52.0	52.32	52.0	52.0
CORE	65536	32768	1	default	50	624.0	551.7	307.0	650.0
CORE	65536	4096	1	default	50	295.5	322.36	231.0	451.0
CORE	65536	512	1	default	50	52.0	56.92	52.0	52.0
CORE	65536	64	1	default	50	52.0	52.62	52.0	52.0
CORE	65536	8192	1	default	50	307.0	389.44	258.0	647.0
CROSS_PROCESS_REPEAT	16384	1024	1	default	150	160.5	164.9	78.0	239.0
CROSS_PROCESS_REPEAT	2097152	1024	1	default	150	154.0	161.57333333333332	83.0	234.0
CROSS_PROCESS_REPEAT	262144	1024	1	default	150	159.5	163.58	85.0	231.0
CROSS_PROCESS_REPEAT	4096	1024	1	default	150	149.0	154.79333333333332	79.0	219.0
CROSS_PROCESS_REPEAT	4096	2048	1	default	150	253.0	249.43333333333334	156.0	298.0
CROSS_PROCESS_REPEAT	4096	512	1	default	150	52.0	56.92	52.0	52.0
CROSS_PROCESS_REPEAT	65536	1024	1	default	150	160.0	164.15333333333334	84.0	233.0
CROSS_PROCESS_REPEAT	65536	512	1	default	150	52.0	56.92	52.0	52.0
INTERVENING_THRASH	16384	1024	1	default	50	156.0	160.92	85.0	230.0
INTERVENING_THRASH	2097152	1024	1	default	50	168.0	169.52	112.0	242.0
INTERVENING_THRASH	262144	1024	1	default	50	149.0	161.48	89.0	236.0
INTERVENING_THRASH	4096	1024	1	default	50	166.0	163.72	91.0	220.0
INTERVENING_THRASH	4096	2048	1	default	50	235.5	240.86	159.0	297.0
INTERVENING_THRASH	4096	512	1	default	50	52.0	56.92	52.0	52.0
INTERVENING_THRASH	65536	1024	1	default	50	169.5	168.2	86.0	240.0
INTERVENING_THRASH	65536	512	1	default	50	52.0	56.92	52.0	52.0
WARM_REPEAT	16384	1024	1	default	50	159.0	160.52	85.0	228.0
WARM_REPEAT	2097152	1024	1	default	50	165.0	168.96	114.0	237.0
WARM_REPEAT	262144	1024	1	default	50	149.0	161.06	86.0	232.0
WARM_REPEAT	4096	1024	1	default	50	163.5	164.14	88.0	224.0
WARM_REPEAT	4096	2048	1	default	50	234.0	240.26	160.0	297.0
WARM_REPEAT	4096	512	1	default	50	52.0	56.92	52.0	52.0
WARM_REPEAT	65536	1024	1	default	50	168.0	168.18	90.0	238.0
WARM_REPEAT	65536	512	1	default	50	52.0	56.92	52.0	52.0
