workload	mode	condition	accepted_run_uuid	mean_mf_latency_cycles	mean_icnt_to_mem_latency_cycles	mean_mrq_latency_cycles	aggregate_mean_dram_bw_util	mean_dram_mrqq_occupancy	total_dram_read_sectors	memory_service_telemetry_status	raw_source
BICG	IO	default_cap8192	34224e99-a5fc-411d-bae2-7948ce9a7b1b	5051	1277	811	0.078645	13.767482	57912632	AVAILABLE; per-DRAM busW/bw_util/dram_eff/mrqq plus global latency summaries	wave-a-sg3-sensitivity-runs/sg3_capacity_base_IO_BICG_34224e99-a5fc-411d-bae2-7948ce9a7b1b/simulator.stdout
BICG	OO	default_cap8192	7d3e125c-20d2-4486-a0dd-bc81a488eeca	2724	722	796	0.078920	13.685609	29451864	AVAILABLE; per-DRAM busW/bw_util/dram_eff/mrqq plus global latency summaries	wave-a-sg3-sensitivity-runs/sg3_capacity_base_OO_BICG_7d3e125c-20d2-4486-a0dd-bc81a488eeca/simulator.stdout
BICG	IO	cap2048	af8c7a57-cab9-4f13-9ef5-c28fa2915073	2742	411	781	0.080000	13.934950	38810064	AVAILABLE; same source metrics	wave-a-sg3-sensitivity-runs/sg3_cap_2048_IO_BICG_af8c7a57-cab9-4f13-9ef5-c28fa2915073/simulator.stdout
BICG	OO	cap2048	8dbab0b8-95b2-45f7-b44c-5c670e3e497d	2035	250	755	0.077545	12.420757	20746460	AVAILABLE; same source metrics	wave-a-sg3-sensitivity-runs/sg3_cap_2048_OO_BICG_8dbab0b8-95b2-45f7-b44c-5c670e3e497d/simulator.stdout
BICG	IO	cap512	2493b232-d91d-4cc7-8d63-de30fa6f18ab	599	20	518	0.074947	8.101735	12878032	AVAILABLE; same source metrics	wave-a-sg3-sensitivity-runs/sg3_cap_512_IO_BICG_2493b232-d91d-4cc7-8d63-de30fa6f18ab/simulator.stdout
BICG	OO	cap512	019c4ddf-2372-408f-847e-1b70efe90237	463	8	491	0.073356	7.287465	9269552	AVAILABLE; same source metrics	wave-a-sg3-sensitivity-runs/sg3_cap_512_OO_BICG_019c4ddf-2372-408f-847e-1b70efe90237/simulator.stdout
