workload	mode	condition	accepted_uuid	L2_dram_queue_full	mrqq_max_over_channels	mrqq_mean_over_channels	gpu_stall_icnt2mem_as_printed_dramfull	gpu_stall_mem2icnt_as_printed_icnt2sh	mean_mf_latency_cycles	mean_icnt_to_mem_latency_cycles	mean_mrq_latency_cycles	mean_dram_bw_util	total_dram_read_sectors	sum_dram_commands	per_channel_bank_command_stats	telemetry_notes	raw_stdout
BICG	IO	default_cap8192	34224e99-a5fc-411d-bae2-7948ce9a7b1b	NOT_AVAILABLE	64	13.767482	545008138	388622	5051	1277	811	0.078645	57912632	1152406940	AVAILABLE_PER_CHANNEL	L2_dram_queue_full is source-registered but not terminal-emitted in this accepted stdout; other values from final terminal block	/workspace/wave-a-sg3-sensitivity-runs/sg3_capacity_base_IO_BICG_34224e99-a5fc-411d-bae2-7948ce9a7b1b/simulator.stdout
BICG	OO	default_cap8192	7d3e125c-20d2-4486-a0dd-bc81a488eeca	NOT_AVAILABLE	64	13.685609	268555598	272343	2724	722	796	0.078920	29451864	589225580	AVAILABLE_PER_CHANNEL	Same terminal extraction rule	/workspace/wave-a-sg3-sensitivity-runs/sg3_capacity_base_OO_BICG_7d3e125c-20d2-4486-a0dd-bc81a488eeca/simulator.stdout
BICG	IO	cap2048	af8c7a57-cab9-4f13-9ef5-c28fa2915073	NOT_AVAILABLE	64	13.934950	286424596	2962074	2742	411	781	0.080000	38810064	740803180	AVAILABLE_PER_CHANNEL	Same terminal extraction rule	/workspace/wave-a-sg3-sensitivity-runs/sg3_cap_2048_IO_BICG_af8c7a57-cab9-4f13-9ef5-c28fa2915073/simulator.stdout
BICG	OO	cap2048	8dbab0b8-95b2-45f7-b44c-5c670e3e497d	NOT_AVAILABLE	64	12.420757	180991062	7982265	2035	250	755	0.077545	20746460	443463480	AVAILABLE_PER_CHANNEL	Same terminal extraction rule	/workspace/wave-a-sg3-sensitivity-runs/sg3_cap_2048_OO_BICG_8dbab0b8-95b2-45f7-b44c-5c670e3e497d/simulator.stdout
BICG	IO	cap512	2493b232-d91d-4cc7-8d63-de30fa6f18ab	NOT_AVAILABLE	64	8.101735	27419155	1737438	599	20	518	0.074947	12878032	314220760	AVAILABLE_PER_CHANNEL	Same terminal extraction rule	/workspace/wave-a-sg3-sensitivity-runs/sg3_cap_512_IO_BICG_2493b232-d91d-4cc7-8d63-de30fa6f18ab/simulator.stdout
BICG	OO	cap512	019c4ddf-2372-408f-847e-1b70efe90237	NOT_AVAILABLE	64	7.287465	10726624	1285926	463	8	491	0.073356	9269552	248104080	AVAILABLE_PER_CHANNEL	Same terminal extraction rule	/workspace/wave-a-sg3-sensitivity-runs/sg3_cap_512_OO_BICG_019c4ddf-2372-408f-847e-1b70efe90237/simulator.stdout
